이, 4834003, 12
아, 3898416, 75
하, 3449995, 15
다, 2772470, 3
고, 2422579, 5
!, 2359218, 4
지, 2232930, 4
가, 2226099, 28
에, 2108922, 12
어, 2005414, 18
그, 1965379, 3
나, 1927797, 8
도, 1687784, 3
서, 1604234, 3
니, 1574856, 3
의, 1474131, 1
요, 1418527, 1
해, 1388327, 2
야, 1374400, 12
으, 1306934, 4
거, 1275435, 2
게, 1263292, 1
1, 1226869, 3
은, 1144541, 118
2, 1134579, 2
라, 1021782, 2
6, 1021169, 5
한, 1003009, 1
기, 947330, 5
오, 933763, 23
말, 903400, 18
면, 891159, 2
까, 876127, 1
네, 858651, 6
~, 769653, 2
데, 763324, 1
자, 762169, 18
리, 676016, 3
0, 675686, 2
시, 658392, 2
없, 618577, 1
안, 588032, 15
마, 578737, 5
제, 571088, 1
것, 544979, 2
구, 542752, 1
앗, 541866, 26
저, 539677, 1
수, 535321, 7
내, 529475, 3
정, 510743, 10
우, 492400, 2
주, 486782, 4
스, 479558, 2
들, 478623, 5
일, 476506, 3
인, 454287, 2
래, 439382, 1
여, 432380, 8
좋아, 429807, 79
장, 413287, 1
응, 402626, 40
보, 398720, 3
사, 365193, 3
히, 359671, 1
와, 356975, 3
더, 345424, 6
생, 343056, 10
름, 336462, 1
9, 335582, 3
미, 329682, 2
자지, 323983, 245
세, 321039, 7
씨, 320524, 4
기분, 319003, 36
양, 307071, 9
있어, 304097, 1
중, 299452, 4
때, 298338, 1
군, 297772, 7
질, 294349, 27
후, 293078, 5
입, 292879, 23
무, 288935, 2
전, 282081, 5
뭐, 281969, 8
려, 276433, 1
알, 274988, 46
그런, 267896, 5
않, 265793, 1
음, 263841, 2
신, 262341, 4
너, 252450, 7
화, 251119, 3
이런, 250795, 16
습니다, 244251, 3
늘, 239969, 1
위, 231878, 3
보지, 231794, 451
치, 230219, 2
상, 229289, 4
없어, 227546, 5
잡아, 221069, 14
원, 218098, 2
옷, 215274, 21
물, 214201, 8
까지, 214193, 2
느, 213958, 1
들어, 212155, 9
걸, 203972, 1
조, 203757, 1
부, 201494, 1
타, 200363, 2
키, 197713, 6
코, 195281, 6
진, 191584, 2
예, 191361, 3
너무, 190376, 49
줄, 189037, 2
애, 187738, 3
못, 187023, 1
금, 184711, 1
모, 183407, 1
남, 183368, 7
문, 179629, 2
성, 179492, 7
잘, 179170, 1
실, 177263, 3
소, 176209, 3
엇, 175074, 1
번, 174344, 2
분, 169021, 1
내가, 167974, 12
엄, 167961, 8
싸, 167517, 11
유, 167366, 3
크, 165405, 1
잇, 163265, 2
난, 163197, 2
운, 157585, 3
또, 155987, 9
랑, 154991, 2
활, 149266, 6
차, 148410, 4
이렇게, 148405, 21
맛, 148059, 6
반, 144562, 13
왜, 144400, 9
안돼, 141648, 233
3, 140769, 1
선, 140147, 4
작, 140016, 1
남자, 137322, 56
두, 136142, 2
미안, 135917, 95
잠깐, 134617, 45
몸, 134570, 9
가슴, 132093, 96
돼, 131672, 2
노, 131417, 9
토, 130811, 7
집, 130425, 10
불, 130264, 1
여자, 130143, 33
간, 130058, 3
발, 129679, 53
용, 128311, 4
사람, 127467, 5
나도, 127377, 9
쪽, 126976, 11
눈, 126338, 7
같은, 123629, 3
그렇게, 123599, 12
선생님, 122349, 292
같아, 121811, 4
괜찮, 121637, 7
약, 120416, 173
년, 118402, 12
